Title,Album details,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Peak chart positions,Sales[a],Certifications
Title,Album details,US [19],AUS [6],CAN [8],DEN [16],IRE [17],NZ [9],NOR [18],SPA [13],SWE [14],UK [10],Sales[a],Certifications
Fearless (Taylor's Version),"Released: April 9, 2021 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,8,1,1,2,3,17,1,"US: 737,000[n] CAN: 18,000[o] UK: 217,947[c]",RIAA: 4× Platinum[102] ARIA: Platinum[83] BPI: Platinum[103] IFPI DEN: Gold[104] MC: 3× Platinum[29] PROMUSICAE: Gold[105] RMNZ: 2× Platinum[106]
Red (Taylor's Version),"Released: November 12, 2021 Label: Republic Formats: CD, LP, digital download, streaming",1,1,1,3,1,1,1,3,8,1,"US: 950,000[n] CAN: 24,000[o] UK: 357,565[c]",RIAA: 6× Platinum[107] ARIA: 2× Platinum[58] BPI: Platinum[108] IFPI DEN: Platinum[109] MC: 4× Platinum[29] PROMUSICAE: Gold[110] RMNZ: 3× Platinum[111]
Speak Now (Taylor's Version),"Released: July 7, 2023 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,6,1,1,2,1,1,1,"US: 908,000[p] UK: 209,302[c]",RIAA: 4× Platinum[113] ARIA: Platinum[83] BPI: Platinum[114] IFPI DEN: Gold[115] MC: 2× Platinum[29] PROMUSICAE: Gold[116] RMNZ: Platinum[117]
1989 (Taylor's Version),"Released: October 27, 2023 Label: Republic Formats: CD, LP, digital download, cassette, streaming",1,1,1,1,1,1,1,1,1,1,"US: 2,389,000[b] UK: 390,226[c]",RIAA: 4× Platinum[118] ARIA: 3× Platinum[58] BPI: 2× Platinum[119] IFPI DEN: Platinum[120] MC: 4× Platinum[29] PROMUSICAE: Platinum[121] RMNZ: 3× Platinum[122]
